Estado,Ano,Mes,Precipitacao Total,Pressao atmosferica media,Radiacao global media,Temperatura media do ar,Temperatura maxima,Temperatura minima,Umidade relativa media,Velocidade media do vento
PR,2008,8,3011.8,949.806955699622,1207.0967613485532,18.469070772555376,34.7,-1.7,72.72565176279886,2.490342405618964
RS,2008,8,4311.6,977.9678533542664,1065.5495008319467,14.239139474689184,32.5,-0.9,79.00929620697215,3.3563648711744984
SC,2008,8,1368.6,944.0128878702398,830.2590056156691,15.468159379407616,32.1,-2.2,80.07864077669903,3.0726307335356062
ES,2008,8,264.6,997.6969915966386,708.1679813553245,21.5058487394958,35.9,11.5,75.76436974789915,2.31290756302521
MG,2008,8,823.6,932.4580796314232,1451.49060919817,20.63355497382199,37.3,0.7,57.84287546794419,2.1480964331482277
RJ,2008,8,898.6,987.8686864775916,646.517349137931,20.544371309650565,36.0,6.4,78.51074956420686,2.7490806498686644
SP,2008,8,1831.6,947.3388196048242,1114.579440954202,20.10400890868597,35.2,6.3,65.445,2.172348484848485
DF,2008,8,0.0,888.1227150537635,1703.241935483871,21.501209677419357,30.0,11.8,42.11290322580645,2.6741935483870964
GO,2008,8,23.4,930.8395583138552,1664.5479801772035,23.424592615917497,37.3,-8.7,42.58824423998175,2.1268420652421867
MS,2008,8,1306.6,970.7586217095534,1391.914318085257,22.800129375951293,37.9,4.9,61.01385229240383,2.425393773570953
MT,2008,8,168.0,966.289057780376,2634.421247251649,26.239164961512227,39.4,10.9,47.82704862126084,1.8715760734673617
AL,2008,8,241.4,995.5183691756272,1322.671357615894,22.601209677419355,33.2,15.5,82.38978494623656,1.8475358422939068
BA,2008,8,988.6,970.3674174174174,2096.843890765766,22.53723723723724,37.1,9.2,65.96826437357807,2.5409048138808386
CE,2008,8,89.2,983.723894400538,1648.1746374575748,26.289641836219943,37.1,14.9,60.06692449974777,2.8472002690432148
MA,2008,8,140.4,994.863880742913,1746.9909734081484,26.95281036168133,38.1,13.9,61.20283479960899,1.7196725317693058
PB,2008,8,924.6,974.6756893073302,1395.639344262295,23.340198386012105,36.1,13.5,74.53799596503026,2.9039554531490013
PE,2008,8,288.4,954.6890681003584,1384.5765877957658,21.89885752688172,34.0,14.5,74.8431899641577,3.5649641577060933
PI,2008,8,97.2,984.916046319272,3115.745880149813,26.843248552522745,38.0,13.1,52.57144334160464,2.4278225806451617
RN,2008,8,574.8,1005.881668496158,4354.402996845426,25.942019758507133,36.0,17.3,68.24362680683312,4.383378136200717
SE,2008,8,325.8,996.1521505376344,1271.0054320987654,22.62137096774193,30.2,14.2,84.38855848201642,2.359865591397849
AC,2008,8,3.8,985.0647577092512,1598.5780821917808,29.06938325991189,36.1,18.0,57.08370044052864,2.386343612334802
AM,2008,8,1013.6,1003.9986129334584,1556.3961038961038,27.18531396438613,37.1,17.7,76.91330834114339,0.985473289597001
PA,2008,8,707.6,999.0126161803928,1465.350610762628,27.241162208033625,39.2,15.4,70.19208306294614,1.6928958215469168
RO,2008,8,118.6,992.2881003894418,1530.924166666667,27.147858070099524,38.4,15.9,63.67027260926006,1.348204826368452
TO,2008,8,20.6,983.1673763059332,1671.9831207801951,26.863970729828612,40.4,12.9,46.73382126348229,1.5727517812439824
